Ref number,Nerve Terminal Perimeter (um),Nerve Terminal Area (um2),Total Length of Branches (um),Average Length of Branches (um),Complexity,AChR Perimeter (um),AChR Area (um2),Endplate Diameter (um),Endplate Perimeter (um),Endplate Area (um2),Compactness,Unoccupied AChR Area (um2),Area of Synaptic Contact (um2),Overlap,Manual Endplate Area,Manual Compactness,Fragmentation,Animal,Genotype,Gender
2M36.tif,458.0498211,437.2860266,231.8027513,2.295076746,6.074276566,412.474203,456.30138,70.1600671,239.0282545,781.1896402,0.584110895,205.7214641,250.5799159,0.85599265,1152.7482,0.395837859,11,35,HOM,M
2M71.tif,311.0348955,228.8972125,139.5762122,1.861016162,5.375515722,355.6584941,254.7151472,40.9387946,128.4193477,512.4163843,0.497086266,113.6559504,141.0591968,0.83268021,720.1845,0.353680407,9,11,HOM,M
2M86.tif,666.5178442,338.8708778,311.5736705,1.422710824,6.786312875,549.1810684,475.3754487,45.44493211,171.8445185,1205.440881,0.394358161,203.5993272,271.7761216,0.92031619,1360.1221,0.349509392,6,14,HOM,M
2M132.tif,369.5112348,349.9764482,176.0272177,2.551119098,5.614372317,422.1232182,320.3839616,38.98786955,138.4124823,694.8446695,0.461087169,130.5575548,189.8264068,0.65256705,922.425,0.347327925,7,14,HOM,M
2M170.tif,609.9662991,410.0924774,285.6549907,0.933513041,6.840507709,468.3731324,398.5842882,80.47041046,274.7954881,714.2626418,0.558036029,158.0027407,240.5815475,0.77983543,1348.9493,0.29547759,10,10,HOM,M
2M19.tif,554.396509,423.3705121,256.7139913,2.492368848,6.159479406,667.1203522,407.3664122,78.67893039,194.8297682,888.2359308,0.458624109,156.7948841,250.571528,0.70938517,1123.0046,0.362746878,8,11,HOM,M
2M23.tif,401.5629806,240.7241416,164.5790376,1.959274257,5.625238334,447.2817917,252.8278713,50.47388241,187.3419844,629.5449224,0.401604178,89.32267272,163.5051985,0.74815872,959.9692,0.263370816,19,11,HOM,M
2M172.tif,759.8208359,488.1837614,357.1832202,1.363294733,6.915280019,587.3317569,699.8774053,181.7537249,309.1411452,1302.866258,0.537182847,246.8473035,453.0301018,0.94614029,2048.0215,0.341733427,16,10,HOM,M
2M55.tif,241.4432488,230.4573606,102.3925231,1.402637303,5.106078971,321.4026515,251.6367905,37.85260737,111.5584218,423.7311915,0.593859493,87.82962776,163.8071627,0.75873333,565.1511,0.445255774,4,10,HOM,M
2M135.tif,304.3671053,322.4389954,157.3437878,2.043425815,5.598684219,384.418556,338.1327432,141.6938365,132.5440428,511.1498125,0.661513973,117.6401995,220.4925437,0.808369716,780.1244,0.43343439,4,11,HOM,M
2M178.tif,313.2932959,205.4698273,250.3030104,1.787878646,6.690722144,221.4471206,187.8636399,34.3513781,98.84310486,365.2843529,0.514294243,64.69581883,123.167821,0.710318346,501.8644,0.374331473,7,28,HOM,M
2M03.tif,490.5466681,461.2921764,297.9274398,1.960048946,6.617659877,421.1629191,416.2743546,49.16568873,156.4168783,781.4496649,0.532695032,140.572699,275.7016555,0.734101717,998.4444,0.41692292,7,17,HOM,M
2M41.tif,825.5564183,579.9808625,458.0187908,1.117119002,7.431788303,666.7676821,498.7021792,62.8381587,200.6137853,1137.339578,0.438481338,155.9644827,342.7376965,0.759683795,1500.1831,0.332427541,11,18,HOM,M
2M24.tif,369.4791535,351.1088137,182.2550277,2.025055864,5.805094859,353.1601146,310.1842837,63.91148117,163.4364134,510.0426106,0.608153667,95.80651402,214.3777697,0.769713359,646.759,0.479597939,7,17,HOM,M
2M122.tif,240.9810463,223.8309251,140.2173103,1.844964609,5.650864515,227.8473174,249.3720593,96.61743153,111.232712,408.8259056,0.609971276,76.99246999,172.3795894,0.75903614,568.3469,0.438767343,5,17,HOM,M
2M43.tif,323.8902469,262.1719841,182.1634423,1.182879495,6.178441205,226.8724214,220.4254406,32.42176356,103.5801669,399.8340843,0.551292272,67.4889872,152.9364534,0.824726968,480.1482,0.459077928,4,11,HOM,M
2M80.tif,394.4552102,423.454391,206.616755,1.861412208,6.011766529,439.1295707,409.8743922,66.10927442,174.920025,632.2961513,0.648231673,113.9914661,295.8829261,0.849053515,882.5405,0.46442559,4,10,HOM,M
2M26.tif,252.3567047,228.0500353,146.811462,1.138073349,5.974927708,188.1607819,207.2312848,62.17572292,95.43333792,305.3528573,0.678661686,56.49245946,150.7388254,0.805067595,361.2246,0.573690952,2,35,HOM,M
2M94.tif,467.5007976,170.0477551,181.7055151,0.747759321,6.293529538,417.8144272,327.5891617,73.10813211,197.4532021,697.0926248,0.469936347,89.18846643,238.4006953,0.890359749,1036.5422,0.316040352,17,10,HOM,M
